iter	Passed	Remaining
317	3693	7920
318	3704	7907
319	3715	7895
320	3725	7879
321	3736	7868
322	3750	7861
323	3762	7849
324	3774	7839
325	3786	7828
326	3797	7816
327	3808	7803
328	3834	7820
329	3846	7809
330	3856	7795
331	3867	7782
332	3875	7763
333	3885	7747
334	3893	7729
335	3904	7716
336	3916	7705
337	3925	7688
338	3936	7676
339	3946	7659
340	3954	7643
341	3963	7625
342	3972	7609
343	3981	7592
344	3992	7580
345	4005	7570
346	4015	7557
347	4025	7541
348	4035	7526
349	4045	7513
350	4062	7511
351	4071	7495
352	4085	7488
353	4097	7477
354	4107	7462
355	4118	7449
356	4128	7435
357	4148	7439
358	4162	7432
359	4174	7420
360	4186	7410
361	4204	7410
362	4214	7395
363	4222	7378
364	4233	7364
365	4243	7350
366	4255	7339
367	4265	7325
368	4276	7312
369	4288	7302
370	4300	7290
371	4310	7277
372	4319	7260
373	4334	7255
374	4349	7248
375	4359	7235
376	4368	7218
377	4378	7204
378	4387	7189
379	4396	7173
380	4406	7159
381	4414	7142
382	4424	7127
383	4435	7115
384	4446	7103
385	4455	7087
386	4463	7070
387	4473	7056
388	4482	7040
389	4490	7024
390	4499	7008
391	4507	6991
392	4516	6976
393	4526	6962
394	4536	6948
395	4547	6936
396	4557	6922
397	4567	6907
398	4577	6894
399	4586	6880
400	4594	6863
401	4602	6847
402	4612	6833
403	4622	6820
404	4634	6808
405	4642	6792
406	4651	6777
407	4660	6761
